Global Volcanism Program - Volcanoes of the World 4.8.8,,,Basic List of Holocene Volcanoes,,Downloaded on 03 Jun 2020 at 12:07 AM,,,,,,,
Volcano Number,Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Subregion,Latitude,Longitude,Elevation (m),Dominant Rock Type,Tectonic Setting
284220,Forecast Seamount,United States,Submarine,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",13.4,143.92,-1456,No Data (checked),Subduction zone / Crustal thickness unknown
284230,Seamount X,United States,Submarine,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",13.25,144.02,-1230,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown
284305,Mariana Back-Arc Segment at 15.5¢XN,United States,Submarine,Eruption Dated,2015 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",15.406,144.506,-4100,,Subduction zone / Oceanic crust (< 15 km)
311010,Buldir,United States,Stratovolcano,Evidence Uncertain,Unknown,Alaska,Aleutian Islands,52.35,175.911,656,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
311020,Kiska,United States,Stratovolcano,Eruption Observed,1990 CE,Alaska,Aleutian Islands,52.103,177.602,1220,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
311030,Segula,United States,Stratovolcano,Evidence Credible,Unknown,Alaska,Aleutian Islands,52.015,178.136,1160,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
311040,Davidof,United States,Stratovolcano,Evidence Uncertain,Unknown,Alaska,Aleutian Islands,51.97,178.33,328,No Data (checked),Subduction zone / Intermediate crust (15-25 km)
311050,Little Sitkin,United States,Stratovolcano,Eruption Observed,1830 CE,Alaska,Aleutian Islands,51.95,178.543,1174,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
311060,Semisopochnoi,United States,Stratovolcano,Eruption Observed,2020 CE,Alaska,Aleutian Islands,51.93,179.58,1221,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
311070,Gareloi,United States,Stratovolcano,Eruption Observed,1989 CE,Alaska,Aleutian Islands,51.79,-178.794,1573,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
311080,Tanaga,United States,Stratovolcano(es),Eruption Observed,1914 CE,Alaska,Aleutian Islands,51.885,-178.146,1806,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
311090,Takawangha,United States,Stratovolcano,Eruption Dated,1550 CE,Alaska,Aleutian Islands,51.873,-178.006,1449,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
311100,Bobrof,United States,Stratovolcano,Evidence Uncertain,Unknown,Alaska,Aleutian Islands,51.91,-177.438,738,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
311110,Kanaga,United States,Stratovolcano,Eruption Observed,2012 CE,Alaska,Aleutian Islands,51.923,-177.168,1307,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
311111,Moffett,United States,Stratovolcano,Eruption Dated,-1600,Alaska,Aleutian Islands,51.944,-176.747,1196,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
311120,Great Sitkin,United States,Stratovolcano,Eruption Observed,2019 CE,Alaska,Aleutian Islands,52.076,-176.13,1740,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
311130,Kasatochi,United States,Stratovolcano,Eruption Observed,2008 CE,Alaska,Aleutian Islands,52.177,-175.508,314,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
311140,Koniuji,United States,Stratovolcano,Eruption Dated,-1150,Alaska,Aleutian Islands,52.22,-175.13,273,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
311160,Atka,United States,Stratovolcano(es),Eruption Observed,1812 CE,Alaska,Aleutian Islands,52.331,-174.139,1448,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
311161,Korovin,United States,Stratovolcano(es),Eruption Observed,2007 CE,Alaska,Aleutian Islands,52.381,-174.166,1518,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
311180,Seguam,United States,Stratovolcano(es),Eruption Observed,1993 CE,Alaska,Aleutian Islands,52.315,-172.51,1054,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
311190,Amukta,United States,Stratovolcano,Eruption Observed,1997 CE,Alaska,Aleutian Islands,52.5,-171.252,1066,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
311200,Chagulak,United States,Stratovolcano,Evidence Credible,Unknown,Alaska,Aleutian Islands,52.577,-171.13,1142,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
311210,Yunaska,United States,Shield,Eruption Observed,1937 CE,Alaska,Aleutian Islands,52.643,-170.629,550,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
311220,Herbert,United States,Stratovolcano,Evidence Credible,Unknown,Alaska,Aleutian Islands,52.742,-170.111,1280,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
311230,Carlisle,United States,Stratovolcano,Eruption Observed,1828 CE,Alaska,Aleutian Islands,52.894,-170.054,1620,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
311240,Cleveland,United States,Stratovolcano,Eruption Observed,2019 CE,Alaska,Aleutian Islands,52.825,-169.944,1730,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
311241,Tana,United States,Stratovolcano(es),Evidence Credible,Unknown,Alaska,Aleutian Islands,52.83,-169.77,1170,Rhyolite,Subduction zone / Intermediate crust (15-25 km)
311250,Uliaga,United States,Stratovolcano,Evidence Credible,Unknown,Alaska,Aleutian Islands,53.065,-169.77,888,No Data (checked),Subduction zone / Intermediate crust (15-25 km)
311260,Kagamil,United States,Stratovolcano,Eruption Observed,1929 CE,Alaska,Aleutian Islands,52.974,-169.72,893,No Data (checked),Subduction zone / Intermediate crust (15-25 km)
311270,Vsevidof,United States,Stratovolcano,Eruption Observed,1878 CE,Alaska,Aleutian Islands,53.13,-168.693,2149,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
311280,Recheschnoi,United States,Stratovolcano,Evidence Credible,Unknown,Alaska,Aleutian Islands,53.157,-168.539,1984,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
311290,Okmok,United States,Shield,Eruption Observed,2008 CE,Alaska,Aleutian Islands,53.43,-168.13,1073,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
311300,Bogoslof,United States,Submarine,Eruption Observed,2017 CE,Alaska,Aleutian Islands,53.93,-168.03,150,Trachyandesite / Basaltic Trachyandesite,Subduction zone / Intermediate crust (15-25 km)
311310,Makushin,United States,Stratovolcano,Eruption Observed,1995 CE,Alaska,Aleutian Islands,53.891,-166.923,1800,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
311320,Akutan,United States,Stratovolcano,Eruption Observed,1992 CE,Alaska,Aleutian Islands,54.134,-165.986,1303,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
311340,Westdahl,United States,Stratovolcano?,Eruption Observed,1992 CE,Alaska,Aleutian Islands,54.516,-164.65,1563,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
311350,Fisher,United States,Stratovolcano,Eruption Observed,1830 CE,Alaska,Aleutian Islands,54.65,-164.43,1112,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
311360,Shishaldin,United States,Stratovolcano,Eruption Observed,2020 CE,Alaska,Aleutian Islands,54.756,-163.97,2857,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
311370,Isanotski,United States,Stratovolcano,Evidence Uncertain,Unknown,Alaska,Aleutian Islands,54.765,-163.723,2446,No Data (checked),Subduction zone / Continental crust (>25 km)
311380,Roundtop,United States,Stratovolcano,Eruption Dated,-7600,Alaska,Aleutian Islands,54.8,-163.589,1871,Rhyolite,Subduction zone / Continental crust (>25 km)
311390,Amak,United States,Stratovolcano,Eruption Observed,1796 CE,Alaska,Aleutian Islands,55.424,-163.149,488,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312010,Frosty,United States,Stratovolcano(es),Evidence Credible,Unknown,Alaska,Alaska Peninsula,55.067,-162.835,1728,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312011,Dutton,United States,Stratovolcano,Evidence Credible,Unknown,Alaska,Alaska Peninsula,55.183,-162.276,1465,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312020,Emmons Lake,United States,Caldera,Evidence Credible,Unknown,Alaska,Alaska Peninsula,55.341,-162.073,1436,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312030,Pavlof,United States,Stratovolcano,Eruption Observed,2016 CE,Alaska,Alaska Peninsula,55.417,-161.894,2493,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312040,Pavlof Sister,United States,Stratovolcano,Evidence Credible,Unknown,Alaska,Alaska Peninsula,55.457,-161.854,2142,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
312050,Dana,United States,Stratovolcano,Eruption Dated,-1890,Alaska,Alaska Peninsula,55.641,-161.214,1354,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312051,Stepovak Bay 2,United States,Pyroclastic cone,Evidence Credible,Unknown,Alaska,Alaska Peninsula,55.913,-160.041,1323,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312052,Stepovak Bay 3,United States,Pyroclastic cone,Evidence Uncertain,Unknown,Alaska,Alaska Peninsula,55.929,-160.002,1555,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312053,Stepovak Bay 4,United States,Stratovolcano,Evidence Credible,Unknown,Alaska,Alaska Peninsula,55.954,-159.954,1557,No Data (checked),Subduction zone / Continental crust (>25 km)
312060,Kupreanof,United States,Stratovolcano,Eruption Observed,1987 CE,Alaska,Alaska Peninsula,56.011,-159.797,1895,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312070,Veniaminof,United States,Stratovolcano,Eruption Observed,2018 CE,Alaska,Alaska Peninsula,56.17,-159.38,2507,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312080,Black Peak,United States,Stratovolcano,Eruption Dated,-1900,Alaska,Alaska Peninsula,56.552,-158.785,1032,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312090,Aniakchak,United States,Caldera,Eruption Observed,1931 CE,Alaska,Alaska Peninsula,56.88,-158.17,1341,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312100,Yantarni,United States,Stratovolcano,Eruption Dated,-800,Alaska,Alaska Peninsula,57.019,-157.185,1345,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312110,Chiginagak,United States,Stratovolcano,Eruption Observed,1998 CE,Alaska,Alaska Peninsula,57.135,-156.99,2221,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312120,Kialagvik,United States,Stratovolcano,Evidence Credible,Unknown,Alaska,Alaska Peninsula,57.203,-156.745,1677,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312130,Ugashik-Peulik,United States,Stratovolcano,Eruption Observed,1814 CE,Alaska,Alaska Peninsula,57.751,-156.368,1474,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312131,Ukinrek Maars,United States,Maar(s),Eruption Observed,1977 CE,Alaska,Alaska Peninsula,57.832,-156.51,91,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
312132,Unnamed,United States,Lava dome,Evidence Credible,Unknown,Alaska,Alaska Peninsula,57.87,-155.411,402,No Data (checked),Subduction zone / Continental crust (>25 km)
312140,Martin,United States,Stratovolcano,Eruption Dated,1953 CE,Alaska,Alaska Peninsula,58.172,-155.361,1863,Dacite,Subduction zone / Continental crust (>25 km)
312150,Mageik,United States,Stratovolcano,Eruption Dated,-500,Alaska,Alaska Peninsula,58.195,-155.253,2165,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312160,Trident,United States,Stratovolcano,Eruption Observed,1974 CE,Alaska,Alaska Peninsula,58.236,-155.1,1864,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312170,Katmai,United States,Stratovolcano,Eruption Observed,1912 CE,Alaska,Alaska Peninsula,58.28,-154.963,2047,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312180,Novarupta,United States,Caldera,Eruption Observed,1912 CE,Alaska,Alaska Peninsula,58.27,-155.157,841,Rhyolite,Subduction zone / Continental crust (>25 km)
312190,Griggs,United States,Stratovolcano,Eruption Dated,-1790,Alaska,Alaska Peninsula,58.354,-155.092,2317,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312200,Snowy Mountain,United States,Stratovolcano(es),Eruption Dated,1710 CE,Alaska,Alaska Peninsula,58.336,-154.682,2162,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312210,Denison,United States,Stratovolcano,Evidence Uncertain,Unknown,Alaska,Alaska Peninsula,58.418,-154.449,2287,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312220,Steller,United States,Stratovolcano,Evidence Credible,Unknown,Alaska,Alaska Peninsula,58.43,-154.4,2272,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312230,Kukak,United States,Stratovolcano,Unrest / Holocene,Unknown,Alaska,Alaska Peninsula,58.453,-154.355,2043,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312250,Kaguyak,United States,Lava dome(s),Eruption Dated,-3850,Alaska,Alaska Peninsula,58.608,-154.028,901,Dacite,Subduction zone / Continental crust (>25 km)
312260,Fourpeaked,United States,Stratovolcano,Eruption Observed,2006 CE,Alaska,Alaska Peninsula,58.77,-153.672,2105,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
312270,Douglas,United States,Stratovolcano,Evidence Credible,Unknown,Alaska,Alaska Peninsula,58.855,-153.542,2140,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
313010,Augustine,United States,Lava dome(s),Eruption Observed,2006 CE,Alaska,Alaska (southwestern),59.363,-153.43,1252,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
313020,Iliamna,United States,Stratovolcano,Eruption Observed,1876 CE,Alaska,Alaska (southwestern),60.032,-153.09,3053,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
313030,Redoubt,United States,Stratovolcano,Eruption Observed,2009 CE,Alaska,Alaska (southwestern),60.485,-152.742,3108,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
313040,Spurr,United States,Stratovolcano,Eruption Observed,1992 CE,Alaska,Alaska (southwestern),61.299,-152.251,3374,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
313050,Hayes,United States,Stratovolcano,Eruption Dated,1200 CE,Alaska,Alaska (southwestern),61.64,-152.411,3034,Dacite,Subduction zone / Continental crust (>25 km)
314010,St. Paul Island,United States,Shield,Eruption Dated,-1280,Alaska,Alaska (western),57.18,-170.3,203,Trachybasalt / Tephrite Basanite,Intraplate / Continental crust (>25 km)
314030,Ingakslugwat Hills,United States,Pyroclastic cone(s),Evidence Credible,Unknown,Alaska,Alaska (western),61.43,-164.47,190,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
314040,St. Michael,United States,Shield(s),Evidence Credible,Unknown,Alaska,Alaska (western),63.45,-162.12,715,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
314060,Imuruk Lake,United States,Shield(s),Eruption Dated,300 CE,Alaska,Alaska (western),65.517,-163.45,610,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
315001,Buzzard Creek,United States,Tuff ring(s),Eruption Dated,-1050,Alaska,Alaska (eastern),64.062,-148.433,830,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
315020,Wrangell,United States,Shield,Eruption Observed,1912 CE,Alaska,Alaska (eastern),62.006,-144.017,4278,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
315030,Churchill,United States,Stratovolcano,Eruption Dated,847 CE,Alaska,Alaska (eastern),61.38,-141.75,5005,Dacite,Intraplate / Continental crust (>25 km)
315040,Edgecumbe,United States,Stratovolcano(es),Eruption Dated,-2220,Alaska,Alaska (eastern),57.05,-135.75,970,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
315050,Duncan Canal,United States,Volcanic field,Evidence Credible,Unknown,Alaska,Alaska (eastern),56.5,-133.1,15,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
315060,Tlevak Strait-Suemez Is.,United States,Volcanic field,Evidence Credible,Unknown,Alaska,Alaska (eastern),55.25,-133.3,50,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
315070,Behm Canal-Rudyerd Bay,United States,Pyroclastic cone(s),Evidence Uncertain,Unknown,Alaska,Alaska (eastern),55.32,-131.05,500,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
321010,Baker,United States,Stratovolcano(es),Eruption Observed,1880 CE,Canada and Western USA,USA (Washington),48.777,-121.813,3285,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
321020,Glacier Peak,United States,Stratovolcano,Eruption Dated,1700 CE,Canada and Western USA,USA (Washington),48.112,-121.113,3213,Dacite,Subduction zone / Continental crust (>25 km)
321030,Rainier,United States,Stratovolcano,Eruption Dated,1450 CE,Canada and Western USA,USA (Washington),46.853,-121.76,4392,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
321040,Adams,United States,Stratovolcano,Eruption Dated,950 CE,Canada and Western USA,USA (Washington),46.206,-121.49,3742,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
321050,St. Helens,United States,Stratovolcano,Eruption Observed,2008 CE,Canada and Western USA,USA (Washington),46.2,-122.18,2549,Dacite,Subduction zone / Continental crust (>25 km)
321060,West Crater,United States,Volcanic field,Eruption Dated,-5750,Canada and Western USA,USA (Washington),45.88,-122.08,1329,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
321070,Indian Heaven,United States,Shield(s),Eruption Dated,-6250,Canada and Western USA,USA (Washington),45.93,-121.82,1806,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
322010,Hood,United States,Stratovolcano,Eruption Observed,1866 CE,Canada and Western USA,USA (Oregon),45.374,-121.695,3426,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
322020,Jefferson,United States,Stratovolcano,Eruption Dated,950 CE,Canada and Western USA,USA (Oregon),44.674,-121.8,3199,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
322030,Blue Lake Crater,United States,Maar,Eruption Dated,680 CE,Canada and Western USA,USA (Oregon),44.411,-121.774,1230,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
322040,Sand Mountain Field,United States,Pyroclastic cone(s),Eruption Dated,-950,Canada and Western USA,USA (Oregon),44.38,-121.93,1664,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
322060,Belknap,United States,Shield(s),Eruption Dated,480 CE,Canada and Western USA,USA (Oregon),44.285,-121.841,2095,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
322070,Three Sisters,United States,Complex,Eruption Dated,440 CE,Canada and Western USA,USA (Oregon),44.133,-121.767,3159,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
322090,Bachelor,United States,Stratovolcano,Eruption Dated,-5800,Canada and Western USA,USA (Oregon),43.979,-121.688,2763,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
322100,Davis Lake,United States,Volcanic field,Eruption Dated,-2790,Canada and Western USA,USA (Oregon),43.57,-121.82,2163,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
322110,Newberry,United States,Shield,Eruption Dated,690 CE,Canada and Western USA,USA (Oregon),43.722,-121.229,2434,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
322120,Devils Garden,United States,Volcanic field,Evidence Uncertain,Unknown,Canada and Western USA,USA (Oregon),43.512,-120.861,1698,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
322150,Cinnamon Butte,United States,Pyroclastic cone(s),Evidence Uncertain,Unknown,Canada and Western USA,USA (Oregon),43.241,-122.108,1956,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
322160,Crater Lake,United States,Caldera,Eruption Dated,-2850,Canada and Western USA,USA (Oregon),42.93,-122.12,2487,Dacite,Subduction zone / Continental crust (>25 km)
322170,Diamond Craters,United States,Volcanic field,Eruption Dated,-5610,Canada and Western USA,USA (Oregon),43.1,-118.75,1435,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
322190,Jordan Craters,United States,Volcanic field,Eruption Dated,-1250,Canada and Western USA,USA (Oregon),43.147,-117.46,1473,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
323010,Shasta,United States,Stratovolcano,Eruption Observed,1250 CE,Canada and Western USA,USA (California),41.409,-122.193,4317,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
323020,Medicine Lake,United States,Shield,Eruption Dated,1060 CE,Canada and Western USA,USA (California),41.611,-121.554,2412,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
